File,aid,Date,2,17,65,81,97,129,145,161
QC_Day_2025153_aid0001,aid0001,2025-06-02 00:00:00+00:00,1039.0,,15150,27.0,,1548.0,19.0,
QC_Day_2025161_aid0001,aid0001,2025-06-10 00:00:00+00:00,3105.0,,14445,58.0,,637.0,,
QC_Day_2025169_aid0001,aid0001,2025-06-18 00:00:00+00:00,16348.0,,2890,19.0,,44.0,,
QC_Day_2025177_aid0001,aid0001,2025-06-26 00:00:00+00:00,9774.0,,8029,17.0,,1265.0,19.0,
QC_Day_2025185_aid0001,aid0001,2025-07-04 00:00:00+00:00,15305.0,,2161,15.0,,1866.0,,
QC_Day_2025193_aid0001,aid0001,2025-07-12 00:00:00+00:00,14034.0,,4597,24.0,,717.0,,
QC_Day_2025201_aid0001,aid0001,2025-07-20 00:00:00+00:00,19129.0,,147,,,99.0,,
QC_Day_2025209_aid0001,aid0001,2025-07-28 00:00:00+00:00,18505.0,,703,,17.0,148.0,,
QC_Day_2025217_aid0001,aid0001,2025-08-05 00:00:00+00:00,18793.0,,560,22.0,,,,
QC_Day_2025225_aid0001,aid0001,2025-08-13 00:00:00+00:00,10944.0,,7721,28.0,,510.0,,
QC_Day_2025233_aid0001,aid0001,2025-08-21 00:00:00+00:00,10162.0,,7962,4.0,3.0,1202.0,18.0,
QC_Day_2025241_aid0001,aid0001,2025-08-29 00:00:00+00:00,4462.0,,12439,21.0,,2294.0,2.0,
QC_Day_2025249_aid0001,aid0001,2025-09-06 00:00:00+00:00,13320.0,,4535,14.0,6.0,1410.0,,
QC_Day_2025257_aid0001,aid0001,2025-09-14 00:00:00+00:00,16881.0,,2291,3.0,15.0,147.0,,37.0
QC_Day_2025265_aid0001,aid0001,2025-09-22 00:00:00+00:00,61.0,,17064,41.0,,61.0,8.0,
